WKU,Title,App_Date,Issue_Date,Inventor,Assignee,ICL_Class,References,Claims
D0837257,Display screen or portion thereof with graphical user interface set,20161212,20190101,Xinyu Wen;Marc Knuth;Ryan Rattenborg;Brandon Klotz;Chad Brekke;Mike Rudzinski,Caterpillar Inc.,1404,5870092;5898434;D469442;D479531;6880132;D519515;D553146;7386799;7479949;7543245;7581195;D606560;D622283;D661702;D664992;D665418;D665419;D705250;D718781;D720770;D720771;D721722;D724610;D725670;D726201;9208592;D754716;D755856;9507503;9513930;9778818;9898526;D813880;D813881;2004/0100479;2010/0023858;2011/0107223,"The ornamental design for a display screen or portion thereof with graphical user interface set, as shown and described."
D0837258,Display screen or portion thereof with graphical user interface,20180115,20190101,Heonwoo Lee;Hanna Kim;Jaemin Jung,"SAMSUNG ELECTRONICS CO., LTD.",1404,D436599;D604327;D683359;D706814;D708203;D709917;D736247;D740300;D757056;D757102;D759666;D759693;D760745;D762671;D763309;D766282;9471216;D776152;D777762;D785013;D786897;D786917;D794048;D794055;D796527;D796528;D797123;D797124;D797125;D800779;D804508;D806751;D807398;D807399;D807898;D810114;D815666;D819685;2004/0141010;2014/0258110,"The ornamental design for a display screen or portion thereof with graphical user interface, as shown and described."
D0837259,Display screen having a graphical user interface or portion thereof,20161128,20190101,Ivan Loughlen;Melissa Leigh Allen-Arredondo;Ivy Cunningham;Jeff Gelfuso;Samuel Stevens Heyworth;Hannah McClellan Richards;Avani Parakh;Brett David Tracy;Liza Marie Walsh;Heather Zorn,"Amazon Technologies, Inc.",1404,D414176;D415483;D440575;D459361;D468322;D499740;D525632;D528124;D578134;D582426;D636402;D655210;D660316;D671136;D677326;D678894;D678898;D682294;D682295;D682864;D693844;D715813;D722614;D726202;D727960;9021396;D759091;D761807;D775654;D787550;9716680;D801373;D801996;D802607;2017/0201850,"The ornamental design for a display screen having a graphical user interface or portion thereof, as shown and described."
D0837260,Display screen or portion thereof with icons,20170222,20190101,Hyun Yeul Lee;Anukam Edward Opara;Youngseong Kim;Hyosang Bang;Jeewon Lee;Insheik Martin Jung;Yongchae Jung,"SAMSUNG ELECTRONICS CO., LTD.",1404,4901221;D545837;D665409;D747347;D758380;D802623;D803880,"The ornamental design for a display screen or portion thereof with icons, as shown and described."
D0837261,Display screen or portion thereof with icon,20160603,20190101,Lee D. Kaplan;Brent Saiontz;Louis Hyman;Eric Stepansky,"TELEPORT MED, LLC",1404,D396458;D545842;D546836;D554665;D582940;D593111;D627789;D633525;D646696;D667450;D668674;D684180;D687455;D691157;D694262;D701519;D703688;D704738;D712421;8825786;D715322;D717339;D725677;D737849;D743994;D746320;D752607;D753670;D755241;D757047;D760272;D761869;D765684;D766935;D768685;D769884;D770488;D771061;D774069;D774518;D775143;D777195;D779526;D780769;D786930;2007/0022157;2008/0307360;2009/0265657;2010/0058244;2010/0332518;2011/0320221;2012/0170721;2012/0179988;2013/0187780;2013/0267793;2013/0325990;2015/0046861;2015/0046877;2015/0067585;2015/0113473;2016/0048319;2016/0092064,"We claim the ornamental design for a display screen or portion thereof with icon, as shown and described."
D0837262,Display screen or portion thereof with graphical user interface,20180424,20190101,Heon Woo Lee;Miyeon Park;Yongman Park;Jakyoung Lee;Hyerim Kwak;Soyoung Lee,"SAMSUNG ELECTRONICS CO., LTD.",1404,D617804;D644242;D644243;D669497;D676060;D690717;D699251;D701879;D703692;D709917;D739872;D739878;D741901;D746327;D746857;D746866;D748673;D750644;D752061;D754736;D756401;D757746;D761277;D761812;D761840;D761857;D762671;D765101;D766308;D768713;D769312;D769889;D773531;D776152;D777200;D777735;D777762;D777778;D780781;D781878;D783633;D783652;D784369;D784370;D785013;D791830;D794048;D794055;D796527;D797123;D797124;D797125;D800779;D801381;2007/0136679;2012/0096383;2012/0124520;2015/0309714;2015/0348029;2016/0011850,"The ornamental design for a display screen or portion thereof with graphical user interface, as shown and described."
D0872098,Display screen or portion thereof with graphical user interface,20161118,20200107,Imran Chaudhri;Jonathan P. Ive,Apple Inc.,1404,6061062;D437858;6678891;D500765;D506474;D559857;D571820;7383510;D573601;7437005;D593576;D613300;7694231;D625323;7812826;D627790;D633918;D637604;D637606;D650791;D651608;8112718;D656508;D656511;D658670;D660864;D661702;D662942;D664560;D664561;D665414;D666626;D667020;D668666;D670308;D670724;D670725;D671557;D672363;D682842;D699743;D702698;D703222;D703695;D714822;D716825;D730919;D732570;D733747;D736246;D737832;D738394;D741353;D744523;D749622;D756396;D769892;D772278;D775147;D789969;D791801;D795899;D804510;D808401;D808975;D822711;D826951;D837230;D847177;D848458;D849026;D851663;2005/0102610;2008/0155473;2009/0066647;2009/0271723;2009/0313578;2010/0125786;2010/0174993;2011/0025711;2011/0167388;2011/0202837;2011/0252357;2012/0017147;2012/0023441;2013/0036384;2013/0254717;2014/0006990;2014/0082497;2014/0173517;2014/0229895;2014/0282208,"The ornamental design for a display screen or portion thereof with graphical user interface, as shown and described."
D0872099,Display screen or portion thereof with dual panel graphical user interface,20161222,20200107,Ranjan Parthasarathy;Abhijit S. Khinvasara;Bharath Yarlagadda;Sanath Kumar Kalligundi Shivaswamy;Vinod Gupta;Sri Ranga Teja Kolli,"Nutanix, Inc.",1404,D599364;D599371;D606085;D608365;7650570;D611485;D614639;D614641;D617339;D634753;D636780;D636785;D637606;8006185;D651917;D655300;D658667;D667020;D682842;D687840;D688259;D689064;D696278;D696686;D702247;D705797;D706798;D709517;D715832;D725670;D731532;D732051;D732062;D742910;D744503;D744504;D744505;D745550;D746316;D747340;D752084;D761282;D763293;D764510;D766270;D766961;D768160;D768188;D768661;D772249;D772279;D772280;D772928;D774069;D774085;D776147;D777195;D779530;D780798;D782504;D782506;D789397;D789404;D789962;D789980;D789981;D789982;D791811;D791813;D792433;D792434;D797779;D800741;D800742;D802011;D802014;2004/0008224;2005/0094205;2013/0132908;2013/0239057;2015/0370920;2016/0063339;2016/0357418,"The ornamental designs for a display screen or portion thereof with dual panel graphical user interface, as shown and described."
D0872100,Display screen or portion thereof with a graphical user interface of an electronic device,20170307,20200107,James Woodson;Erich Hannan;Lucien Davison;Duane Hunt;Bert Jeffrey Lutzenberger,"CommuniCare Technology, Inc.",1404,D701879;D713411;D725134;D749096;D753698;D765698;D768652;D775632;D778312;D780195;D795895;D822696;D822702;D831069;D834045;D835145;D835146;D835671;D836653;D841663;D843387;D849777;D853428;D854041;D854042;D855068;2015/0205930;2018/0356947,"The ornamental design for a display screen or portion thereof with a graphical user interface of an electronic device, as shown and described."
D0872101,Display screen or portion thereof with graphical user interface,20170808,20200107,Mark Leck;Jonathan Wells,"Green Seed Technologies, Inc.",1404,6273814;6642939;D496666;D507798;D547321;D599377;D604307;D606092;D606093;D614637;D667840;D681660;D684164;D697526;8751068;D709087;D712918;D715832;D716344;D717817;D719173;D720765;D730386;D731520;D735235;D737844;D739429;D740847;D744001;D744507;D745535;D746318;D746850;D747326;D747339;D747350;D749612;D750099;D752063;D752077;D752601;D752604;D752605;D752620;D753167;D753168;D753686;D759101;D759102;D763295;D769294;D776148;D776687;D781874;D783040;D787538;D788791;D797119;D797141;D806722;D806723;D810101;D822050;D822702;2002/0149611;2006/0195438;2008/0189632;2010/0299625;2011/0161358;2011/0252302;2012/0260204;2013/0024776;2013/0264352;2014/0081690;2014/0115465;2015/0310019;2016/0110089,"The ornamental design for a display screen or portion thereof with graphical user interface, as shown and described."
